customer_id;reference_date;region;plan_type;contract_type;internet_tech;tenure_months;has_autopay;monthly_charges;total_charges;avg_data_gb;n_support_calls;n_complaints;late_payment;churned
80383;2024-05-21;North;postpaid;annual;dsl;54;1;47,93;;19.84;1;0;0;0
18539;2024-10-22;North;postpaid;annual;cable;32;1;177,34;5970,12;2.01;1;1;0;0
78316;2024-06-04;Southeast;postpaid;annual;cable;40;1;66,4;2549,25;16.46;0;1;0;0
76695;06/09/2024;North;postpaid;annual;cable;16;0;40,88;655,29;13.82;0;0;0;0
19507;2024-06-09;Southeast;prepaid;annual;cable;57;1;33,63;1964,39;9.52;1;0;0;0
76863;30/01/2024;Northeast;prepaid;monthly;cable;50;1;99,48;4844,21;13.39;2;0;1;0
53997;2024-04-18;Northeast;prepaid;annual;fiber;53;1;167,75;8212,67;13.58;1;0;0;0
25473;2024-12-19;Center-West;postpaid;annual;fiber;48;1;32,54;1575,08;13.52;0;0;0;0
47951;2024-06-02;Northeast;prepaid;annual;cable;70;1;138,78;9670,04;8.48;3;0;0;0
19455;2024-07-31;South;prepaid;monthly;dsl;63;0;69,06;4765,62;7.86;1;0;1;0
52016;2024-10-20;Center-West;postpaid;annual;fiber;58;1;62,86;3338,54;6.34;1;2;0;0
88041;2024-07-18;North;prepaid;monthly;dsl;24;0;135,57;3493,5;3.65;0;1;0;0
18237;2024-11-01;South;prepaid;annual;dsl;5;0;142,18;710,09;10.29;0;0;0;0
82431;2024-02-19;Center-West;prepaid;monthly;cable;1;1;113,85;107,25;18.34;0;0;0;0
41774;2024-08-06;South;prepaid;monthly;cable;56;1;60,34;3240,26;7.63;0;1;0;0
77155;2024-05-24;Southeast;postpaid;annual;fiber;64;1;30,95;1786,13;4.89;6;0;0;0
29499;2024-04-20;North;prepaid;monthly;fiber;47;0;140,59;6662,7;6.45;0;0;0;1
90268;20/05/2024;Northeast;prepaid;monthly;fiber;52;0;119,94;6765,07;11.33;1;0;0;0
95314;28/05/2024;Southeast;postpaid;monthly;cable;7;0;93,38;686,6;11.32;1;0;1;0
60287;2024-06-01;North;postpaid;annual;fiber;41;0;62,04;2437,17;6.0;0;0;0;0
84113;2024-09-13;Southeast;postpaid;annual;dsl;43;0;144,29;6023,01;10.42;0;1;0;0
24174;2024-11-18;Northeast;postpaid;annual;dsl;12;0;40,63;467,75;9.39;1;0;0;0
74921;2024-06-22;North;postpaid;monthly;dsl;54;0;126,41;6315,55;14.48;0;1;0;0
81643;24/07/2024;South;prepaid;annual;dsl;24;1;133,26;2979,82;22.61;1;0;0;0
59963;2024-02-14;South;postpaid;annual;dsl;15;1;63,49;993,59;7.46;1;0;0;0
83007;02/06/2024;North;postpaid;monthly;dsl;50;0;102,5;5209,59;6.74;1;0;0;1
51030;2024-08-30;Northeast;prepaid;monthly;fiber;31;0;108,03;3207,23;11.23;2;2;0;1
67732;2024-10-17;Center-West;prepaid;monthly;fiber;39;1;118,69;4409,25;12.59;2;0;0;0
98065;2024-02-04;North;prepaid;monthly;dsl;39;1;165,18;6730,55;14.93;1;0;0;0
17677;14/07/2024;Southeast;postpaid;monthly; fiber ;45;1;111,96;4630,36;3.22;0;0;0;0
77974;26/12/2024;Center-West;postpaid;monthly;dsl;30;1;40,1;1134,86;29.92;0;1;1;0
78007;2024-06-03;Northeast;postpaid;monthly; fiber ;58;1;81,75;4602,04;8.78;0;0;1;0
60015;2024-04-27;Northeast;prepaid;monthly;cable;63;1;124,25;8415,15;7.0;1;0;0;0
44633;2024-09-14;Southeast;prepaid;monthly;fiber;35;1;79,97;2976,95;4.89;1;0;1;1
78831;2024-02-27;South;postpaid;annual;dsl;12;1;145,19;1596,85;7.71;0;1;0;0
66493;11/08/2024;Northeast;postpaid;monthly;fiber;20;1;58,49;1182,89;3.59;2;0;0;0
40649;2024-08-05;Center-West;postpaid;monthly;dsl;55;0;51,45;3020,18;19.74;1;0;0;0
27901;2024-05-20;North;postpaid;annual;fiber;19;0;64,65;1239,32;9.52;1;0;1;0
58467;2024-10-02;Center-West;postpaid;monthly;dsl;56;1;161,41;8971,37;6.78;0;0;0;0
26734;2024-04-08;Center-West;postpaid;monthly; fiber ;48;0;132,14;6840,34;17.62;0;0;0;0
62550;19/09/2024;South;postpaid;monthly;dsl;32;1;108,01;3618,25;9.13;0;0;0;0
31490;2024-07-15;Center-West;postpaid;monthly;dsl;9;0;75,05;676,66;6.75;2;1;0;1
19646;07/04/2024;South;prepaid;monthly;cable;39;0;167,79;6119,13;24.99;2;1;0;1
95095;2024-12-23;South;prepaid;monthly;dsl;50;1;163,32;7640,17;7.9;0;0;0;0
14095;16/07/2024;Northeast;prepaid;monthly;dsl;11;1;89,91;936,94;2.37;0;0;0;0
12578;2024-09-16;Northeast;prepaid;monthly;cable;59;0;142,91;8577,25;10.39;1;1;0;0
34324;09/09/2024;Southeast;prepaid;annual;fiber;14;1;167,03;2360,46;9.6;0;0;0;0
41631;2024-11-29;Center-West;postpaid;monthly;dsl;30;0;77,0;2371,51;6.89;0;0;1;0
10689;2024-10-24;Southeast;prepaid;monthly;fiber;38;0;79,31;2831,34;6.23;0;0;0;0
54642;2024-03-08;Center-West;postpaid;monthly;dsl;53;1;111,87;5951,29;10.92;0;0;0;0
51351;2024-06-25;Southeast;postpaid;annual;fiber;16;0;91,25;1492,2;8.0;2;0;0;0
90918;2024-09-06;Northeast;postpaid;annual;fiber;24;0;144,22;3708,85;8.76;0;0;0;0
85230;2024-01-03;Northeast;postpaid;annual;dsl;58;0;110,54;6123,51;12.28;0;0;0;0
69926;2024-04-11;Northeast;prepaid;monthly;fiber;24;1;61,78;1416,92;8.47;0;1;0;0
60679;2024-06-03;Northeast;postpaid;monthly;FIBRE;44;1;83,46;4034,17;7.17;3;0;0;0
29077;2024-03-07;North;prepaid;annual;fiber;29;1;130,69;3458,26;15.07;2;1;0;0
45846;12/08/2024;Northeast;postpaid;monthly;cable;5;0;38,02;189,65;7.99;3;0;1;1
28141;2024-04-19;South;prepaid;annual;fiber;37;1;81,33;3267,11;6.89;0;0;0;0
37265;2024-02-21;Northeast;prepaid;monthly;fiber;26;1;32,41;851,01;4.2;1;0;1;0
81739;25/06/2024;North;postpaid;monthly;cable;19;1;153,13;2956,13;5.85;1;0;1;0
57003;03/12/2024;North;postpaid;monthly;cable;61;1;47,58;2767,87;4.7;0;1;1;1
80191;2024-02-25;North;postpaid;monthly;fiber;55;1;41,58;2394,15;;1;0;0;0
68978;06/03/2024;North;postpaid;annual;dsl;20;1;147,99;3233,17;6.28;0;0;1;0
33384;2024-02-11;Southeast;prepaid;monthly;fiber;38;1;43,43;1639,02;12.49;2;0;0;0
84344;25/02/2024;Southeast;postpaid;monthly;cable;52;0;132,64;7401,71;10.15;0;0;0;0
92830;05/06/2024;South;prepaid;annual;fiber;4;1;86,98;315,54;8.37;1;0;0;0
50216;2024-01-01;Southeast;prepaid;annual;fiber;7;1;153,25;1146,01;13.35;2;1;1;0
34279;2024-02-16;North;prepaid;annual;fiber;39;1;57,43;2444,83;7.25;0;0;1;0
59519;2024-04-01;Northeast;prepaid;annual;dsl;67;1;42,66;3058,37;11.99;0;1;0;0
48714;2024-01-01;Northeast;prepaid;annual;fiber;66;1;64,26;3891,31;14.74;0;0;0;0
25899;2024-11-01;North;postpaid;monthly;dsl;32;0;169,82;5582,37;2.42;3;1;0;0
23210;20/04/2024;Center-West;prepaid;annual;fiber;50;0;154,37;7061,64;10.08;2;0;0;0
97117;2024-09-19;North;prepaid;annual;dsl;35;1;72,87;2329,96;12.94;1;1;0;0
12748;2024-09-03;Southeast;postpaid;monthly;cable;65;0;60,92;3625,06;12.44;1;0;0;0
22573;2024-02-24;Northeast;prepaid;annual;FIBRE;41;0;53,53;2037,99;10.41;1;0;0;0
17425;22/02/2024;North;postpaid;monthly;fiber;64;0;63,18;4072,65;7.49;2;0;0;0
24567;2024-12-06;Northeast;postpaid;annual;fiber;26;1;60,76;1657,68;8.99;3;0;0;0
36896;28/06/2024;North;prepaid;monthly;dsl;67;1;163,23;10199,13;3.1;0;0;0;0
45929;2024-08-21;North;postpaid;annual;fiber;52;0;33,0;1546,68;20.46;0;0;0;0
41527;2024-09-11;Southeast;prepaid;monthly;dsl;55;0;162,02;8780,04;2.88;0;0;0;0
32932;2024-07-03;North;prepaid;monthly;dsl;2;0;36,21;71,34;6.49;2;0;0;0
60440;2024-08-25;Northeast;postpaid;monthly;dsl;58;1;154,03;8823,21;;1;0;0;0
95175;2024-02-15;South;postpaid;annual;dsl;12;1;93,86;1139,22;4.05;0;1;0;1
92388;2024-11-27;Northeast;postpaid;monthly;fiber;67;0;41,58;3048,67;8.63;2;0;0;0
87641;20/11/2024;Southeast;prepaid;annual;fiber;14;1;149,85;2006,75;15.19;0;0;0;0
38957;2024-10-05;South;postpaid;monthly;dsl;59;0;68,47;4096,42;13.82;1;0;0;0
93779;2024-08-07;North;prepaid;monthly;fiber;46;1;161,7;7948,67;10.02;2;0;0;0
36770;2024-06-05;Center-West;prepaid;monthly;dsl;28;1;142,84;3947,5;11.14;1;0;0;1
39597;2024-02-20;South;prepaid;annual;cable;64;0;177,27;10244,53;;1;0;1;0
13443;2024-05-10;South;postpaid;monthly;fiber;28;0;154,78;4205,38;4.93;1;0;0;0
26149;2024-06-25;North;prepaid;annual;fiber;5;1;66,14;344,16;6.93;1;0;1;1
94009;2024-10-10;Center-West;postpaid;monthly; fiber ;6;1;91,38;513,93;8.22;0;0;0;0
70656;2024-01-14;Center-West;postpaid;annual;fiber;61;1;134,49;8477,07;15.58;2;0;0;0
33155;2024-06-07;Southeast;postpaid;monthly;cable;28;0;77,41;1973,29;25.74;0;0;0;0
11809;2024-01-28;South;postpaid;monthly;cable;59;1;111,98;6832,99;8.9;1;0;0;0
63502;2024-08-16;Center-West;postpaid;monthly;fiber;2;1;65,65;131,3;8.68;1;0;0;0
40377;2024-03-08;Southeast;prepaid;monthly;cable;6;1;129,44;808,11;9.97;1;0;0;0
64632;2024-07-01;Center-West;prepaid;monthly; fiber ;71;0;81,32;5228,45;6.16;0;1;0;0
52054;2024-06-04;South;postpaid;monthly;cable;11;1;38,28;459,15;21.9;1;0;0;0
58106;12/07/2024;Center-West;prepaid;monthly;cable;49;1;175,17;8721,01;5.7;1;0;0;0
71383;2024-10-25;South;prepaid;annual;fiber;25;1;156,59;4046,77;5.86;1;0;0;1
87125;07/03/2024;North;prepaid;monthly;dsl;36;1;75,56;2891,74;7.18;0;0;0;0
87352;2024-09-02;Northeast;prepaid;annual;dsl;9;1;49,44;404,85;;0;1;0;1
49714;2024-05-15;Southeast;prepaid;monthly;fiber;19;0;140,28;2484,05;12.87;0;0;0;0
68602;2024-09-06;North;prepaid;monthly;fiber;54;1;63,1;3174,13;9.9;1;0;0;0
50426;2024-04-20;North;postpaid;monthly;dsl;39;0;120,82;4389,12;8.37;0;1;0;0
82545;2024-01-28;Northeast;prepaid;monthly;fiber;36;1;146,86;4850,52;9.51;0;1;0;0
73809;2024-04-29;Center-West;postpaid;monthly;fiber;68;1;70,86;5223,25;5.0;1;1;0;0
47504;13/03/2024;Northeast;postpaid;annual;fiber;30;1;72,7;2114,89;2.2;0;0;0;0
49477;10/07/2024;North;prepaid;annual;dsl;58;0;39,24;2100,07;16.41;1;2;0;0
11482;2024-06-10;North;postpaid;monthly;fiber;52;1;77,98;4227,13;4.36;1;0;0;0
58841;2024-11-15;North;postpaid;monthly;dsl;33;1;119,62;3842,18;21.38;1;0;1;0
77365;2024-12-08;Center-West;postpaid;monthly;fiber;21;1;53,37;1054,77;13.11;2;1;0;1
77339;03/03/2024;South;prepaid;annual;fiber;26;1;172,96;4882,54;8.9;1;0;0;0
11328;2024-08-16;Southeast;prepaid;monthly;dsl;62;1;138,36;9174,57;;0;0;0;0
24903;2024-02-20;South;prepaid;monthly;fiber;22;0;60,59;1357,46;10.69;2;1;0;1
66841;2024-03-17;Southeast;postpaid;monthly;dsl;47;1;109,59;5148,19;9.61;0;0;0;0
14624;2024-03-29;Southeast;postpaid;monthly;fiber;9;0;88,72;734,98;10.09;0;0;0;1
74517;03/01/2024;Southeast;postpaid;annual;dsl;25;1;87,35;2175,48;16.54;1;1;0;0
35459;2024-06-15;Northeast;postpaid;monthly;fiber;67;0;114,0;7504,88;12.64;1;0;0;0
59332;2024-01-24;Northeast;postpaid;monthly;cable;39;0;46,22;1803,91;9.22;1;1;0;0
81424;2024-05-13;Northeast;postpaid;annual;fiber;59;1;62,3;3605,84;14.94;0;0;0;0
69236;2024-03-05;North;prepaid;annual;cable;19;1;52,45;1002,9;22.82;2;0;0;0
51353;27/12/2024;Northeast;postpaid;monthly;fiber;55;1;56,1;3128,82;9.12;1;0;0;0
77372;17/08/2024;Southeast;prepaid;monthly;fiber;70;1;128,28;8233,45;6.51;0;0;0;0
63412;2024-01-25;Center-West;prepaid;annual;dsl;66;0;179,42;11154,03;15.56;0;1;0;0
68720;2024-02-22;North;postpaid;monthly;fiber;31;1;127,67;3923,98;;0;0;0;0
93973;12/11/2024;Center-West;postpaid;monthly;fiber;49;0;177,71;9409,93;18.28;1;0;0;0
61808;2024-01-16;Southeast;prepaid;monthly;cable;64;1;116,55;8114,67;4.97;0;0;0;0
19729;25/07/2024;North;postpaid;monthly;dsl;58;0;72,5;;7.6;1;0;1;1
88053;2024-07-28;Northeast;prepaid;annual;dsl;70;0;160,85;11423,61;26.87;0;0;0;0
92166;15/09/2024;North;prepaid;annual;cable;3;1;40,08;121,02;7.4;0;1;0;0
63746;2024-03-05;North;prepaid;annual;fiber;39;0;45,36;1695,1;18.61;1;0;0;0
30868;2024-12-27;Southeast;postpaid;annual;fiber;57;1;172,14;9725,62;6.36;4;0;0;0
62322;22/03/2024;South;postpaid;annual;cable;52;1;127,53;6724,27;14.91;2;0;0;0
16125;2024-02-05;South;prepaid;annual;fiber;11;0;169,34;1999,17;5.6;0;0;0;0
36628;18/12/2024;South;prepaid;annual;fiber;41;1;49,93;1983,53;15.78;1;0;0;0
25314;2024-10-12;Northeast;prepaid;monthly;fiber;12;0;145,24;1641,35;8.5;2;1;1;1
24241;2024-10-24;Northeast;prepaid;monthly;fiber;7;1;65,22;424,45;7.55;0;1;0;0
45149;2024-11-24;Northeast;postpaid;monthly;fiber;8;0;81,5;628,12;8.63;0;0;0;1
28195;31/10/2024;South;postpaid;monthly;fiber;68;1;164,85;11222,17;10.17;1;0;0;0
72095;22/12/2024;Center-West;postpaid;monthly;dsl;20;1;91,69;2011,59;11.27;0;0;0;1
41728;2024-01-12;Southeast;prepaid;monthly;dsl;33;1;130,58;4046,79;4.64;1;0;0;0
85142;2024-04-06;South;postpaid;monthly;cable;19;0;163,09;2819,12;11.99;0;0;0;0
46261;2024-12-20;Southeast;prepaid;monthly;fiber;64;0;160,63;9809,51;3.91;0;0;0;1
49979;2024-06-30;South;prepaid;monthly;FIBRE;64;0;31,34;2049,91;17.1;0;0;1;1
70035;24/06/2024;Center-West;postpaid;monthly;dsl;47;1;53,73;2754,77;12.5;1;0;0;0
52258;2024-06-19;South;postpaid;monthly;fiber;59;1;167,79;10248,03;12.48;0;2;0;0
77307;01/02/2024;Center-West;postpaid;annual;fiber;8;0;114,36;967,3;15.68;0;0;0;0
64234;18/07/2024;North;postpaid;monthly;dsl;71;1;102,03;7415,25;12.74;2;0;0;0
51530;2024-04-24;Northeast;postpaid;monthly;dsl;30;1;39,79;1304,33;23.38;1;2;0;0
98922;2024-04-22;North;postpaid;monthly;FIBRE;29;1;33,76;996,17;5.66;2;0;0;0
64841;07/02/2024;South;prepaid;annual;dsl;14;0;173,01;2508,37;4.51;0;0;0;0
49324;2024-10-09;Northeast;prepaid;annual;dsl;63;1;101,08;6984,04;23.83;0;0;0;0
97406;2024-04-29;Center-West;prepaid;monthly;cable;13;1;147,96;1945,71;12.77;1;0;0;0
92744;2024-07-06;South;prepaid;monthly;fiber;61;0;63,0;3640,76;13.58;0;0;1;0
52107;2024-02-16;Northeast;prepaid;annual;dsl;51;1;65,56;3644,15;5.32;2;0;0;0
55656;2024-02-03;South;prepaid;annual;dsl;55;1;114,04;6336,36;13.17;1;0;1;0
48813;01/04/2024;Northeast;postpaid;monthly; fiber ;3;1;161,4;514,01;;6;0;0;1
55206;2024-03-05;Northeast;postpaid;monthly;dsl;53;0;73,29;3808,68;14.78;1;1;0;0
36761;2024-01-25;North;postpaid;monthly;dsl;69;0;79,32;5977,31;10.49;0;1;0;0
80418;2024-08-19;Northeast;prepaid;monthly;FIBRE;28;0;112,59;;9.49;1;0;1;0
42604;03/04/2024;South;postpaid;annual;fiber;32;0;36,0;;10.56;1;0;1;0
32665;2024-07-31;Southeast;prepaid;annual;fiber;8;1;86,81;731,37;6.97;0;0;0;0
37836;04/05/2024;Southeast;prepaid;annual;dsl;35;0;113,44;4223,89;7.94;0;0;0;0
85398;2024-10-01;North;prepaid;annual;FIBRE;48;0;30,72;1579,11;19.11;0;0;1;0
72989;2024-11-29;Center-West;prepaid;monthly;dsl;22;1;125,7;2796,05;13.35;0;1;0;0
96420;2024-12-14;Southeast;prepaid;annual;fiber;53;1;37,64;2075,85;9.14;1;0;0;0
36862;10/03/2024;North;postpaid;monthly;dsl;7;1;137,99;;13.29;1;0;1;1
97837;25/08/2024;Northeast;postpaid;monthly;dsl;48;0;150,25;7316,42;12.17;2;0;0;0
23557;2024-10-29;South;postpaid;annual;dsl;42;1;155,82;5901,29;8.07;0;1;0;0
45707;31/08/2024;Northeast;prepaid;monthly;dsl;17;1;131,01;2009,61;6.98;2;0;0;0
29320;2024-10-25;South;postpaid;annual;fiber;25;0;114,24;3010,32;7.92;1;0;0;0
33831;11/03/2024;Center-West;postpaid;annual;fiber;18;1;76,13;1245,92;17.52;0;1;0;0
47636;2024-07-23;North;prepaid;annual;dsl;45;1;93,69;4370,09;9.1;0;0;1;1
94135;2024-01-07;North;postpaid;annual;FIBRE;46;1;43,06;2135,64;18.84;1;0;0;0
93316;2024-06-08;Southeast;postpaid;monthly;dsl;40;0;136,07;5508,97;7.51;1;0;0;1
96690;2024-02-10;North;prepaid;monthly;dsl;14;0;33,7;446,6;6.48;0;0;0;0
95915;2024-05-26;Center-West;prepaid;annual;cable;16;0;92,02;1598,54;9.4;0;0;0;0
46613;2024-09-07;Southeast;postpaid;monthly;fiber;58;1;105,93;6151,11;11.72;1;0;0;0
62087;2024-11-28;Northeast;prepaid;annual;dsl;33;1;127,51;3937,52;10.57;1;0;0;0
78132;2024-03-11;North;prepaid;monthly;fiber;31;0;81,48;2481,72;12.58;0;0;0;1
68931;14/12/2024;Northeast;prepaid;monthly;cable;22;0;96,42;2234,52;12.79;0;0;0;0
40184;2024-02-05;Northeast;postpaid;monthly;dsl;67;1;118,11;8032,75;14.42;1;2;0;0
16855;2024-09-12;North;prepaid;annual;dsl;18;1;168,48;3069,76;5.43;1;0;1;0
54804;2024-11-29;South;prepaid;annual;dsl;55;1;130,8;6534,19;7.12;1;0;0;0
94856;2024-11-11;Northeast;prepaid;annual;fiber;55;0;68,17;3689,24;10.94;1;1;0;0
62733;15/05/2024;Southeast;postpaid;monthly;dsl;18;1;157,09;2933,43;8.09;0;0;1;0
10296;2024-10-13;North;postpaid;monthly;cable;1;1;38,26;35,74;9.46;0;0;0;0
76687;2024-09-02;Southeast;postpaid;monthly;FIBRE;18;1;70,84;1397,95;10.14;1;0;0;0
86301;17/09/2024;Northeast;prepaid;monthly;cable;20;0;46,22;836,93;8.84;2;0;0;0
80461;2024-10-04;Northeast;prepaid;monthly;cable;53;1;97,06;4899,98;8.01;1;0;0;0
46129;2024-03-29;Southeast;postpaid;monthly;cable;38;0;125,54;4327,08;6.15;3;0;0;0
74129;2024-05-19;Northeast;prepaid;monthly;cable;31;1;109,65;3233,18;9.01;1;0;0;0
82172;2024-05-31;North;postpaid;monthly;fiber;34;0;151,69;4962,15;7.8;1;1;0;1
82860;2024-08-17;Northeast;postpaid;annual;dsl;68;0;115,12;7797,05;15.24;0;1;0;0
76036;2024-03-31;Southeast;postpaid;annual;fiber;67;1;64,9;4664,42;13.59;1;1;0;0
61023;2024-02-18;Southeast;postpaid;monthly;dsl;2;1;110,46;212,1;5.37;1;0;0;0
31955;2024-10-01;North;postpaid;monthly;fiber;60;0;140,32;7917,55;21.82;1;1;0;0
32089;2024-05-13;Southeast;prepaid;annual;cable;26;0;105,44;2579,14;7.96;0;0;0;0
66054;2024-04-19;South;postpaid;annual;fiber;54;0;96,3;4768,48;4.43;0;1;0;0
13970;29/12/2024;Northeast;prepaid;annual;FIBRE;70;1;109,36;7117,06;7.4;2;0;0;0
52823;2024-09-13;Southeast;postpaid;monthly; fiber ;37;0;112,21;3983,16;4.0;0;2;1;1
56490;2024-09-13;Northeast;prepaid;monthly;dsl;45;0;76,58;3260,41;4.36;1;1;0;0
57340;2024-04-30;Southeast;prepaid;annual;fiber;31;1;158,13;4488,22;35.06;2;0;0;0
52024;2024-02-17;Southeast;postpaid;monthly;fiber;6;1;61,15;400,58;14.87;0;0;0;0
15387;2024-01-23;North;prepaid;monthly;fiber;3;0;34,92;95,91;5.07;0;0;0;0
92986;2024-10-09;Northeast;prepaid;annual;fiber;26;1;141,22;;3.4;2;0;0;0
30049;21/11/2024;Southeast;postpaid;monthly;cable;59;1;156,35;8792,79;9.42;2;0;0;0
56459;2024-11-04;South;prepaid;annual; fiber ;25;0;126,41;3193,7;3.07;0;1;0;0
17580;31/05/2024;Center-West;postpaid;annual;fiber;31;0;100,34;2800,37;9.18;2;1;0;0
12651;2024-05-18;Center-West;prepaid;monthly;fiber;38;0;176,28;6038,49;12.2;0;0;0;0
33126;2024-03-24;North;prepaid;annual;fiber;23;0;85,61;1904,83;;0;0;0;0
63459;2024-11-14;North;prepaid;monthly;fiber;35;1;90,88;3310,56;5.03;1;0;0;0
48434;2024-07-14;South;postpaid;annual;fiber;44;0;118,67;5714,86;11.25;0;0;0;0
75688;2024-02-12;Northeast;postpaid;annual;fiber;61;1;94,56;5712,8;17.16;0;0;0;0
79486;18/02/2024;North;prepaid;annual;fiber;54;0;113,29;6337,97;8.12;2;1;0;0
81581;21/01/2024;South;postpaid;monthly;fiber;59;1;174,98;10461,94;4.88;1;0;0;0
